台番号	G数	差枚	BB	RB
スマスロ サンダーV
2817	4,271	-762	0	7
2818	2,451	-2,523	0	5
2819	6,509	+4,143	0	17
2820	2,981	-2,762	0	7
とある魔術の禁書目録2
2598	9,775	+4,953	0	25
2599	8,673	+1,477	0	26
2600	8,183	-3,047	0	30
2601	9,189	+3,000	0	23
2602	7,829	-3,714	0	25
2603	7,777	-1,571	0	21
2604	8,847	-5,095	0	29
2605	6,061	-5,095	0	22
革命機ヴァルヴレイヴ2
2606	7,666	-5,095	36	8
2607	2,173	-285	19	3
2608	3,492	+1,953	35	0
2609	4,417	-4,000	12	3
2610	3,496	-428	33	2
2611	5,571	+1,143	58	6
2612	3,350	-1,238	28	3
2613	6,437	+1,667	62	4
2614	4,652	+762	50	6
2615	3,230	-1,285	15	3
2616	3,129	-2,952	9	3
2617	4,620	+667	56	1
2618	4,534	+6,381	83	3
2619	7,042	-2,047	37	4
2620	3,806	+3,286	45	4
2621	4,300	-2,619	25	5
GI優駿倶楽部黄金
2622	5,639	-1,762	0	15
ダーリン・イン・ザ・フランキス
2623	4,542	-4,809	0	18
バンドリ！
2625	5,031	+619	0	10
HEY！エリートサラリーマン鏡
2626	3,332	+1,191	0	11
頭文字D 2nd
2627	2,679	-1,000	0	6
ゾンビランドサガ
2628	4,448	-238	52	0
シャーマンキング
2629	2,811	-619	10	0
スマスロ真・北斗無双
2630	4,557	+4,000	51	0
2715	1,592	-1,142	9	0
プリズムナナ
2631	385	-285	1	1
ガールズ&パンツァー 最終章
2632	1,395	+2,191	26	8
戦国コレクション6
2633	3,539	-1,333	0	6
3031	7,448	-2,904	0	12
3032	5,758	+2,810	0	14
3033	7,662	+667	0	11
3034	3,781	-3,190	0	5
3035	4,647	+3,953	0	8
3036	6,381	+477	0	8
3037	7,166	+1,191	0	9
七つの魔剣が支配する
2634	2,103	-714	0	7
ひぐらしのなく頃に 業
2635	6,307	-1,809	13	12
マジカルハロウィン8
2636	3,713	-904	18	0
BIRDIE WING ‐Golf Girls' Story‐
2637	2,185	+1,286	0	17
とある科学の超電磁砲2
2638	4,756	+4,143	0	13
ビッグドリーム THE GOLDEN PUSHER
2639	1,797	-1,762	0	5
吉宗
2640	3,112	+2,048	9	3
2641	1,945	-1,381	2	1
2642	3,984	+2,238	11	4
2643	1,063	-904	1	0
2644	4,582	-3,000	5	5
バイオハザード RE:2
2645	1,906	-714	9	0
頭文字D
2646	1,783	+238	10	13
ハイパーラッシュ
2647	4,463	+96	19	6
コードギアス反逆のルルーシュ3 C.C.&Kallen ver.
2648	6,085	+667	16	10
2649	1,851	-476	4	3
2650	3,289	-2,952	4	1
この素晴らしい世界に祝福を！
2651	0	+0	0	0
2652	2,914	-1,857	0	6
2653	4,346	-1,952	0	9
ダンジョンに出会いを求めるのは間違っているだろうか2
2654	4,398	-142	24	0
2655	4,762	+2,762	30	0
2656	3,215	-1,000	12	0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART
2657	7,705	+905	42	0
2658	836	-762	4	0
2659	4,720	-48	22	0
2660	2,522	-1,190	7	0
2661	6,850	+1,572	37	0
2662	3,243	-95	23	0
マクロスデルタ
2663	5,897	-285	0	14
新鬼武者2
2664	3,953	-95	0	12
